feature,mean_importance
SibSp,0.0006755865327237534
Parch,0.001699006255142276
Embarked,0.005289841171047386
Pclass,0.015752968695183507
Fare,0.03660700290750104
Ticket,0.13947101868911563
Name,0.1604792933971087
Sex,0.19652817339710182
Age,0.5519651656351939
