feature,mean_importance
Pclass,-1.1102230246251565e-16
Name,-1.1102230246251565e-16
Age,-1.1102230246251565e-16
Ticket,-1.1102230246251565e-16
Fare,-1.1102230246251565e-16
Embarked,-1.1102230246251565e-16
Sex,-8.881784197001253e-17
Parch,-8.881784197001253e-17
SibSp,-6.661338147750939e-17
