feature,weight
intercept,-0.406814853704632
Pclass,-0.591815426909455
Name,0.7468856997320212
Sex,-1.5727205793725745
Age,-0.877843720507126
SibSp,0.6056223690138894
Parch,0.5348895154264597
Ticket,-0.6872115592711837
Fare,-0.0967966446358242
Embarked,0.10177929880571263
