feature,mean_importance
Parch,-0.0014510330557823137
Pclass,0.0
Sex,0.02059029296040535
Embarked,0.025255940258502963
SibSp,0.04034106418490411
Name,0.063637256026268
Ticket,0.12652841368690132
Fare,0.15053794799372552
Age,0.22990986738353966
