feature,shap_importance
Sex,1.5727205793725747
Age,1.1664927074038391
Pclass,0.8285415976732367
Ticket,0.7958571709541743
Name,0.502921506783974
SibSp,0.3108861494271299
Parch,0.18899429545068241
Embarked,0.07311632631459311
Fare,0.048851753664227615
