feature,mean_importance
Ticket,-0.08195392416953823
SibSp,-0.009831153078162513
Parch,-0.009801569560463163
Fare,0.0009120722473966003
Embarked,0.007939412426873738
Pclass,0.01716180980986075
Name,0.08289325929248541
Sex,0.17177051253295078
Age,0.5160294989994566
